"","title","year","length","rating","votes","mpaa","Action","Animation","Comedy","Drama","budget_millions"
"746","Here on Earth",2000,93,4.8,2187,"PG-13",0,0,0,1,15
"747","Hey Arnold! The Movie",2002,76,4.8,425,"PG",0,1,1,0,10
"748","Hidalgo",2004,136,6.6,7328,"PG-13",1,0,0,1,78
"749","Hidden Agenda",2001,98,4.2,266,"R",1,0,0,0,5
"750","Hidden Assassin",1995,89,4.4,245,"R",1,0,0,1,11
"751","Hide and Seek",2005,101,5.2,3784,"R",0,0,0,1,30
"752","Hideous Kinky",1998,98,6.1,1615,"R",0,0,0,1,12
"753","High Crimes",2002,115,6.1,6043,"PG-13",0,0,0,1,42
"754","High Fidelity",2000,113,7.6,29704,"R",0,0,1,1,20
"755","High Strung",1991,93,6.2,391,"PG",0,0,1,0,0.3
"756","Highlander",1986,116,7.1,18146,"R",1,0,0,0,16
"757","Highlander II: The Quickening",1991,92,3.4,9264,"R",1,0,0,0,30
"758","Highlander III: The Sorcerer",1994,102,3.7,3388,"PG-13",1,0,0,0,26
"759","Highlander: Endgame",2000,101,4.4,3773,"R",1,0,0,0,15
"760","Hillz, The",2004,91,3.1,80,"R",0,0,1,1,0.1
"761","HipHopBattle.com: Hip Hop 4 Life",2001,98,5.7,15,"PG-13",0,0,1,1,0.012
"762","Hit and Runway",1999,108,6.7,189,"R",0,0,1,0,1.2
"763","Hitchhiker's Guide to the Galaxy, The",2005,110,6.9,7644,"PG",0,0,1,0,50
"764","Holes",2003,117,7.2,5235,"PG",0,0,1,1,30
"765","Hollow Man",2000,112,5.3,16168,"R",0,0,0,0,95
"766","Hollywood Ending",2002,112,6.3,3673,"PG-13",0,0,1,1,16
"767","Hollywood Homicide",2003,116,5.2,5312,"PG-13",1,0,1,0,75
"768","Hollywood North",2003,89,5.7,114,"R",0,0,1,0,7
"769","Hollywood Sign, The",2001,90,5.3,196,"R",0,0,1,0,12
"770","Holy Man",1998,114,4.9,3497,"PG",0,0,1,1,60
"771","Home Fries",1998,91,4.9,2374,"PG-13",0,0,1,1,15
"772","Home at the End of the World, A",2004,96,6.5,1693,"R",0,0,0,1,6.5
"773","Home on the Range",2004,76,5.4,1510,"PG",0,1,1,0,110
"774","Hometown Legend",2002,108,4.6,186,"PG",0,0,0,1,2
"775","Honey",2003,94,3.9,3067,"PG-13",0,0,0,1,17
"776","Hong faan kui",1996,91,6.5,4644,"R",1,0,1,0,7.5
"777","Hope Floats",1998,114,5.3,4382,"PG-13",0,0,1,1,30
"778","Horse Whisperer, The",1998,170,6.4,6744,"PG-13",0,0,0,1,60
"779","Hours, The",2002,114,7.6,16692,"PG-13",0,0,0,1,25
"780","House of 1000 Corpses",2003,88,5.1,6136,"R",0,0,0,0,7
"781","House of Mirth, The",2000,140,6.9,2167,"PG",0,0,0,1,10
"782","House of Sand and Fog",2003,126,7.8,8164,"R",0,0,0,1,16
"783","House of Wax",2005,105,4.6,1298,"R",0,0,0,0,30
"784","House of Yes, The",1997,85,6.5,2345,"R",0,0,1,1,1.5
"785","House of the Dead",2003,90,2.3,3921,"R",1,0,0,0,7
"786","House on Haunted Hill",1999,99,5.1,9694,"R",0,0,0,0,19
"787","House on Turk Street, The",2002,103,5.5,1048,"R",0,0,0,1,12
"788","How Harry Became a Tree",2001,99,6.7,115,"R",0,0,0,1,6
"789","How High",2001,95,4.9,2916,"R",0,0,1,0,12
"790","How Stella Got Her Groove Back",1998,124,5,1475,"R",0,0,0,1,20
"791","How the Grinch Stole Christmas",2000,104,5.7,12680,"PG",0,0,1,1,123
"792","How to Deal",2003,102,5.5,1537,"PG-13",0,0,1,1,16
"793","How to Kill Your Neighbor's Dog",2000,107,7,907,"R",0,0,1,1,7.3
"794","How to Lose a Guy in 10 Days",2003,116,6.1,9257,"PG-13",0,0,1,0,50
"795","Hulk",2003,138,6.1,20710,"PG-13",1,0,0,1,120
"796","Hurricane",1997,91,6.6,424,"R",0,0,0,1,0.5
"797","Hurricane, The",1999,145,7.3,12445,"R",0,0,0,1,38
"798","Husbands",1970,131,7,373,"PG-13",0,0,0,1,1
"799","I Am Sam",2001,132,7.2,9945,"PG-13",0,0,0,1,22
"800","I Capture the Castle",2003,111,7,947,"R",0,0,0,1,8
"801","I Dreamed of Africa",2000,114,5.2,1113,"PG-13",0,0,0,1,34
"802","I Got the Hook Up",1998,93,3.2,412,"R",0,0,1,0,3.5
"803","I Heart Huckabees",2004,106,7,7262,"R",0,0,1,0,22
"804","I Inside, The",2003,90,6,734,"R",0,0,0,0,8.8
"805","I Know What You Did Last Summer",1997,99,5.3,15932,"R",0,0,0,0,17
"806","I Married a Strange Person!",1997,74,6.2,391,"R",0,1,1,1,0.25
"807","I Spy",2002,97,5.3,5521,"PG-13",1,0,1,0,70
"808","I Still Know What You Did Last Summer",1998,100,4,9524,"R",0,0,0,0,24
"809","I'm with Lucy",2002,90,6.2,646,"R",0,0,1,0,15
"810","I, Robot",2004,115,7,22330,"PG-13",1,0,0,0,105
"811","Ice Age",2002,81,7.3,22302,"PG",0,1,1,0,60
"812","Ice Cream Man",1995,84,4.2,349,"R",0,0,1,0,2
"813","Ice Storm, The",1997,112,7.5,13115,"R",0,0,0,1,18
"814","Ideal Husband, An",1999,97,7,4584,"PG-13",0,0,1,0,14
"815","Identity",2003,90,7.3,18747,"R",0,0,0,1,30
"816","Idle Hands",1999,92,5.4,5892,"R",0,0,1,0,20
"817","Igby Goes Down",2002,99,7.1,7958,"R",0,0,1,1,9
"818","Imaginary Heroes",2004,112,7,411,"R",0,0,1,1,10
"819","Importance of Being Earnest, The",2002,97,6.8,3598,"PG",0,0,1,1,15
"820","Impostor",2002,102,5.8,3292,"R",1,0,0,1,40
"821","In & Out",1997,92,6.2,10352,"PG-13",0,0,1,0,35
"822","In Crowd, The",2000,104,4,1342,"PG-13",0,0,0,1,15
"823","In Dreams",1999,98,5.3,3652,"R",0,0,0,0,30
"824","In This World",2002,88,7.8,815,"R",0,0,0,1,1.9
"825","In the Bedroom",2001,130,7.4,10177,"R",0,0,0,1,1.7
"826","In the Company of Men",1997,97,7.3,3618,"R",0,0,1,0,0.025
"827","In the Cut",2003,119,5.1,4525,"R",0,0,0,0,12
"828","In the Shadows",2001,105,4.8,268,"R",0,0,0,1,10
"829","Incident at Loch Ness",2004,94,6.4,251,"PG-13",0,0,1,0,1.4
"830","Incredibles, The",2004,121,8.3,30749,"PG",1,1,1,0,92
"831","Incredibly True Adventure of Two Girls in Love, The",1995,94,6.5,795,"R",0,0,1,1,0.25
"832","Independence Day",1996,153,6.1,61831,"PG-13",1,0,0,0,75
"833","Indian in the Cupboard, The",1995,96,5.8,1430,"PG",0,0,0,0,45
"834","Insider, The",1999,157,8,28780,"R",0,0,0,1,68
"835","Insight of Evil",2003,80,5.1,11,"R",0,0,0,0,0.12
"836","Insomnia",2002,118,7.3,22235,"R",0,0,0,1,46
"837","Inspector Gadget",1999,78,4,5288,"PG",1,0,1,0,75
"838","Instinct",1999,126,6.1,6298,"R",0,0,0,1,55
"839","Intended, The",2002,110,6.8,40,"R",0,0,0,1,3.8
"840","Intermission",2003,102,6.4,1971,"R",0,0,1,1,5
"841","Interpreter, The",2005,128,6.6,4678,"PG-13",0,0,0,1,80
"842","Interstate 60",2002,116,7.7,2495,"R",0,0,1,1,7
"843","Interview with the Assassin",2002,88,6.7,409,"R",0,0,0,1,0.75
"844","Into the Sun",2005,97,4,481,"R",1,0,0,0,16
"845","Intolerable Cruelty",2003,100,6.6,11967,"PG-13",0,0,1,0,60
"846","Intruder, The",1962,84,8,163,"PG-13",0,0,0,1,0.08
"847","Invasions barbares, Les",2003,112,7.9,4900,"R",0,0,1,1,5
"848","Iron Giant, The",1999,86,7.9,15151,"PG",0,1,0,0,48
"849","Island of Dr. Moreau, The",1996,99,4,5983,"PG-13",0,0,0,0,40
"850","Isn't She Great",2000,95,4.8,688,"R",0,0,1,1,36
"851","Italian Job, The",2003,111,6.9,18496,"PG-13",1,0,0,0,60
"852","JFK",1991,206,7.8,26456,"R",0,0,0,1,40
"853","Jack",1996,113,5.2,5256,"PG-13",0,0,1,1,45
"854","Jack Frost",1998,101,4.5,2130,"PG",0,0,1,1,50
"855","Jackal, The",1997,124,5.7,12753,"R",0,0,0,0,60
"856","Jackass: The Movie",2002,87,6.1,8893,"R",0,0,1,0,5
"857","Jacket, The",2005,102,6.4,1564,"R",0,0,0,0,19
"858","Jackie Brown",1997,154,7.5,28891,"R",0,0,0,1,12
"859","Jackpot",2001,97,5.2,213,"R",0,0,1,1,0.4
"860","Jade",1995,107,4.8,2380,"R",1,0,0,1,50
"861","Jake's Booty Call",2003,77,7,10,"R",0,0,1,0,0.05
"862","Jakob the Liar",1999,120,5.9,2544,"PG-13",0,0,1,1,15
"863","James and the Giant Peach",1996,79,6.6,3144,"PG",0,1,0,0,38
"864","Japanese Story",2003,105,7,1330,"R",0,0,0,1,5.74
"865","Jason X",2001,85,4.6,5975,"R",0,0,0,0,14
"866","Jay and Silent Bob Strike Back",2001,104,6.9,24211,"R",0,0,1,0,22
"867","Jeepers Creepers",2001,90,5.4,10973,"R",0,0,0,1,10
"868","Jeepers Creepers II",2003,104,5.2,4069,"R",0,0,0,0,25
"869","Jefferson in Paris",1995,139,5.6,665,"PG-13",0,0,0,1,14
"870","Jennifer's Shadow",2004,96,5.1,17,"R",0,0,0,0,1
"871","Jerry Maguire",1996,139,7.3,34623,"R",0,0,1,1,50
"872","Jerry and Tom",1998,106,6.7,447,"R",0,0,1,1,5
"873","Jersey Girl",2004,102,6.4,6853,"PG-13",0,0,1,1,35
"874","Jesus' Son",1999,107,6.9,2291,"R",0,0,0,1,2.5
"875","Jimmy Show, The",2001,99,4.6,145,"R",0,0,1,1,1
"876","Jing cha gu shi III: Chao ji jing cha",1992,95,6.7,2024,"R",1,0,1,0,0.9
"877","Jingle All the Way",1996,88,4.7,6246,"PG",1,0,1,0,60
"878","Jisatsu saakuru",2002,99,6.8,1311,"R",0,0,0,0,0.25
"879","Joe Dirt",2001,91,5.1,5514,"PG-13",0,0,1,0,16
"880","Joe Somebody",2001,98,5.5,1937,"PG",0,0,1,1,38
"881","Joe's Apartment",1996,80,5,2169,"PG-13",0,0,1,0,13
"882","John Q",2002,116,6.4,8952,"PG-13",0,0,0,1,36
"883","Johnny English",2003,87,5.6,8125,"PG",1,0,1,0,35
"884","Johnson Family Vacation",2004,97,3.6,955,"PG-13",0,0,1,0,12
"885","Josie and the Pussycats",2001,98,5.2,4508,"PG-13",0,0,1,0,22
"886","Joy Ride",2001,97,6.6,8132,"R",0,0,0,0,23
"887","Judge Dredd",1995,96,4.6,9979,"R",1,0,0,0,90
"888","Judgment",2001,105,4.6,106,"PG-13",0,0,0,1,11
"889","Jui kuen II",1994,99,7.5,4628,"R",1,0,1,0,2
"890","Julie Walking Home",2002,118,7.3,190,"R",0,0,0,1,5
"891","Jumanji",1995,104,6,14874,"PG",1,0,1,0,65
"892","Jurassic Park III",2001,92,5.6,20690,"PG-13",1,0,0,0,93
"893","Juror, The",1996,118,5.3,2920,"R",0,0,0,1,44
"894","Just Looking",1999,97,6.2,436,"R",0,0,1,0,3
"895","Just the Ticket",1999,115,5.5,610,"R",0,0,1,0,12
"896","Juwanna Mann",2002,91,3.9,885,"PG-13",0,0,1,0,15.6
"897","K-19: The Widowmaker",2002,140,6.6,8292,"PG-13",0,0,0,1,100
"898","K-PAX",2001,120,7.2,17235,"PG-13",0,0,0,1,48
"899","Kama Sutra: A Tale of Love",1996,114,5.5,1491,"R",0,0,0,1,3
"900","Kangaroo Jack",2003,89,3.9,3661,"PG",0,0,1,0,60
"901","Kansas City",1996,116,5.8,1077,"R",0,0,0,1,19
"902","Karakter",1997,122,7.7,2687,"R",0,0,0,1,4.5
"903","Kate & Leopold",2001,123,6.3,8060,"PG-13",0,0,1,0,48
"904","Keane",2004,100,6.3,34,"R",0,0,0,1,0.85
"905","Keeping the Faith",2000,128,6.8,11351,"PG-13",0,0,1,1,30
"906","Kejar Amerika",2004,86,6.7,19,"PG-13",0,0,0,0,0.1
"907","Kicked in the Head",1997,87,4.2,271,"R",0,0,1,1,4
"908","Kid, The",2000,104,6.1,5418,"PG",0,0,1,1,65
"909","Kill Bill: Vol. 1",2003,111,8.3,65026,"R",1,0,0,1,55
"910","Kill Bill: Vol. 2",2004,136,8.3,44189,"R",1,0,0,1,30
"911","Killer Eye, The",1999,72,2.2,210,"R",0,0,0,0,0.4
"912","Killers",1997,86,2.8,127,"R",1,0,0,0,0.1
"913","Killing Me Softly",2002,104,5.4,1771,"R",0,0,0,1,25
"914","Kimberly",1999,106,5.3,231,"R",0,0,1,0,2
"915","King Arthur",2004,140,6,14272,"R",1,0,0,1,90
"916","Kingdom of Heaven",2005,145,7,6498,"R",1,0,0,1,130
"917","Kingpin",1996,117,6.6,10643,"PG-13",0,0,1,0,25
"918","Kinsey",2004,118,7.6,3225,"R",0,0,0,1,11
"919","Kiss of the Dragon",2001,98,6.2,7887,"R",1,0,0,1,25
"920","Kiss or Kill",1997,96,6.2,590,"R",0,0,0,0,2
"921","Kiss the Girls",1997,111,6.4,9041,"R",0,0,0,1,27
"922","Kiss the Sky",1999,107,5.6,263,"R",0,0,0,0,6
"923","Kiss, The",2004,25,5.8,5,"PG-13",0,0,0,0,0.006
"924","Kissing Jessica Stein",2001,97,7,4236,"R",0,0,1,0,1
"925","Knight's Tale, A",2001,132,6.5,15006,"PG-13",1,0,1,0,41
"926","Knock Off",1998,91,3.8,1947,"R",1,0,0,0,35
"927","Kontroll",2003,107,7.8,1174,"R",0,0,0,0,0.5
"928","Kundun",1997,128,7.1,4306,"PG-13",0,0,0,1,28
"929","Kung Pow: Enter the Fist",2002,82,5.1,5871,"PG-13",1,0,1,0,10
"930","LD 50 Lethal Dose",2003,97,5,88,"R",0,0,0,0,8
"931","Lady of the Lake",1998,82,3.9,46,"R",0,0,0,0,0.06
"932","Ladykillers, The",2004,104,6.4,10580,"R",0,0,1,0,35
"933","Lake Placid",1999,82,5.2,7836,"R",1,0,1,0,27
"934","Lana's Rain",2002,107,7.1,56,"R",0,0,0,1,0.215
"935","Lara Croft Tomb Raider: The Cradle of Life",2003,117,5.2,9103,"PG-13",1,0,0,0,90
"936","Lara Croft: Tomb Raider",2001,100,5.2,21861,"PG-13",1,0,0,0,80
"937","Lashou shentan",1992,131,7.9,6568,"R",1,0,0,1,4.5
"938","Last Castle, The",2001,131,6.4,7233,"R",1,0,0,1,60
"939","Last Horror Movie, The",2003,80,5.2,409,"R",0,0,0,0,0.78
"940","Last Man Standing",1996,101,5.7,6751,"R",1,0,0,1,67
"941","Last Orders",2001,109,7.1,1583,"R",0,0,0,1,12
"942","Last Patrol, The",2000,95,2.9,236,"PG-13",1,0,0,1,8.2
"943","Last Picture Show, The",1971,118,8,5340,"R",0,0,0,1,1.3
"944","Last Resort, The",1997,86,5,62,"PG-13",1,0,0,0,5
"945","Last Samurai, The",2003,154,7.9,31668,"R",1,0,0,1,100
"946","Last Time I Committed Suicide, The",1997,92,5.3,530,"R",0,0,0,1,4
"947","Latter Days",2003,107,7.3,1396,"R",0,0,1,1,0.85
"948","Lawn Dogs",1997,101,7.5,1856,"R",0,0,0,1,8
"949","Laws of Attraction",2004,90,5.7,2349,"PG-13",0,0,1,0,28
"950","League of Extraordinary Gentlemen, The",2003,110,5.4,15647,"PG-13",1,0,0,0,78
"951","Learning Curve, The",2001,113,5.2,177,"R",0,0,0,1,1
"952","Leaving Las Vegas",1995,111,7.5,18027,"R",0,0,0,1,4
"953","Legally Blonde",2001,96,6.4,17572,"PG-13",0,0,1,0,18
"954","Legally Blonde 2: Red, White & Blonde",2003,95,4.4,6293,"PG-13",0,0,1,0,45
"955","Legend of Bagger Vance, The",2000,126,6.4,7123,"PG-13",0,0,1,1,60
"956","Legend of the Mummy",1997,96,2.4,257,"R",0,0,0,0,2
"957","Leggenda del pianista sull'oceano, La",1998,120,7.6,3599,"R",0,0,0,1,9
"958","Legion of the Dead",2001,92,3.4,374,"R",0,0,1,0,2.7
"959","Legionnaire",1998,98,4.5,1773,"R",1,0,0,0,35
"960","Lemony Snicket's A Series of Unfortunate Events",2004,108,6.7,8402,"PG",0,0,1,0,125
"961","Lengua asesina, La",1996,98,4,244,"R",0,0,1,0,4
"962","Lethal Weapon 4",1998,127,6.3,17758,"R",1,0,1,0,140
"963","Levity",2003,100,6.4,1459,"R",0,0,0,1,7.5
"964","Liar Liar",1997,86,6.5,22969,"PG-13",0,0,1,0,45
"965","Liberty Stands Still",2002,92,5.6,1560,"R",0,0,0,1,11
"966","Life",1999,108,5.8,4857,"R",0,0,1,1,75
"967","Life Aquatic with Steve Zissou, The",2004,118,7.3,9170,"R",0,0,1,1,25
"968","Life Less Ordinary, A",1997,103,6.4,8209,"R",0,0,1,1,12
"969","Life as a House",2001,127,7.5,7696,"R",0,0,1,1,18
"970","Life of David Gale, The",2003,130,7.1,10580,"R",0,0,0,1,50
"971","Light It Up",1999,99,5.7,856,"R",0,0,0,1,13
"972","Like Mike",2002,99,4.9,1484,"PG",0,0,1,0,30
"973","Lilo & Stitch",2002,86,7.3,10944,"PG",0,1,1,1,80
"974","Limbo",1999,126,7.1,2063,"R",0,0,0,1,8.3
"975","Limey, The",1999,89,7.2,7732,"R",0,0,0,1,9
"976","Little Black Book",2004,111,4.7,1894,"PG-13",0,0,1,1,35
"977","Little Nicky",2000,90,4.9,9485,"PG-13",0,0,1,0,80
"978","Little Secrets",2001,97,6.9,457,"PG",0,0,0,1,2.5
"979","Little Vampire, The",2000,91,5.6,601,"PG",0,0,1,0,22
"980","Livers Ain't Cheap",1997,89,4.5,81,"R",0,0,0,0,2.5
"981","Living Out Loud",1998,103,6.5,1774,"R",0,0,1,1,12
"982","Lizzie McGuire Movie, The",2003,94,5,2541,"PG",0,0,1,0,17
"983","Lolita",1997,137,6.8,5757,"R",0,0,0,1,58
"984","Lone Star",1996,135,7.7,8518,"R",0,0,0,1,5
"985","Long Kiss Goodnight, The",1996,120,6.5,12516,"R",1,0,0,1,65
"986","Looney Tunes: Back in Action",2003,91,6.1,2559,"PG",1,1,1,0,80
"987","Lord of the Rings: The Fellowship of the Ring, The",2001,208,8.8,157608,"PG-13",1,0,0,0,93
"988","Lord of the Rings: The Return of the King, The",2003,251,9,103631,"PG-13",1,0,0,0,94
"989","Lord of the Rings: The Two Towers, The",2002,223,8.8,114797,"PG-13",1,0,0,0,94
"990","Loser",2000,92,5.1,5152,"PG-13",0,0,1,0,20
"991","Losing Isaiah",1995,111,6.1,794,"R",0,0,0,1,17
"992","Loss of Sexual Innocence, The",1999,106,5.3,977,"R",0,0,0,1,4
"993","Lost Highway",1997,135,7.3,15936,"R",0,0,0,1,15
"994","Lost Souls",2000,97,4.6,3423,"R",0,0,0,0,28
"995","Lost World: Jurassic Park, The",1997,129,5.5,28055,"PG-13",1,0,0,0,73
"996","Lost in Space",1998,130,4.7,15209,"PG-13",1,0,0,0,80
"997","Lost in Translation",2003,102,8,42450,"R",0,0,1,1,4
"998","Lot Like Love, A",2005,107,4.6,786,"PG-13",0,0,1,1,30
"999","Love & Basketball",2000,124,6.7,2093,"PG-13",0,0,0,1,15
"1000","Love Letter, The",1999,88,5.2,1258,"PG-13",0,0,1,1,15
"1001","Love Liza",2002,90,6.6,1588,"R",0,0,0,1,1
"1002","Love Object",2003,88,6.3,427,"R",0,0,1,0,1
"1003","Love Stinks",1999,94,5.3,1311,"R",0,0,1,0,4
"1004","Love Story",1970,99,6.2,2844,"PG",0,0,0,1,2.2
"1005","Love and Other Catastrophes",1996,78,6.5,783,"R",0,0,1,0,0.25
"1006","Love's Labour's Lost",2000,93,5.9,1254,"PG",0,0,1,0,13
"1007","Lovely & Amazing",2001,91,6.9,1813,"R",0,0,1,1,0.25
"1008","Lover Girl",1997,87,5.3,102,"R",0,0,1,1,1
"1009","Lucky 13",2004,95,5.7,151,"R",0,0,1,0,1.2
"1010","Lucky Break",2001,108,6.3,707,"PG-13",0,0,1,0,6
"1011","Lucky Numbers",2000,105,5,2396,"R",0,0,1,0,65
"1012","Luminarias",2000,100,2.7,381,"R",0,0,1,0,1
"1013","Lunes al sol, Los",2002,113,7.8,1466,"R",0,0,0,1,4
"1014","MASH",1970,112,7.8,14829,"R",0,0,1,1,3.5
"1015","Mad City",1997,115,6,3965,"PG-13",0,0,0,1,50
"1016","Made",2001,94,6.5,4487,"R",0,0,1,1,5
"1017","Madhouse",2004,91,5.4,389,"R",0,0,0,0,3
"1018","Madonna: Truth or Dare",1991,114,5.5,2660,"R",0,0,0,0,4.5
"1019","Magnolia",1999,188,8,45992,"R",0,0,0,1,37
"1020","Maid in Manhattan",2002,105,4.6,12237,"PG-13",0,0,1,0,55
"1021","Mailman, The",2004,85,7,6,"R",0,0,0,0,0.075
"1022","Majestic, The",2001,156,6.7,8649,"PG",0,0,0,1,72
"1023","Major Dundee",1965,152,6.4,468,"PG-13",0,0,0,0,3.8
"1024","Malibu's Most Wanted",2003,86,4.9,2099,"PG-13",0,0,1,0,16
"1025","Mallrats",1995,94,7.1,22837,"R",0,0,1,1,6.1
"1026","Man Apart, A",2003,110,5.4,4231,"R",1,0,0,1,36
"1027","Man Who Wasn't There, The",2001,118,7.7,17028,"R",0,0,1,1,20
"1028","Man from Elysian Fields, The",2001,106,6.8,1198,"R",0,0,0,1,6.5
"1029","Man in the Iron Mask, The",1998,132,6,11127,"PG-13",1,0,0,1,35
"1030","Man of the House",2005,97,5.2,511,"PG-13",1,0,1,0,40
"1031","Man on Fire",2004,146,7.4,14358,"R",1,0,0,1,70
"1032","Man on the Moon",1999,118,7.3,19826,"R",0,0,1,1,52
"1033","Man-Thing",2005,96,3.8,163,"R",1,0,0,0,30
"1034","Manny & Lo",1996,88,6.9,395,"R",0,0,0,1,0.5
"1035","Maquinista, El",2004,102,7.7,4322,"R",0,0,0,1,5
"1036","Marci X",2003,80,2.8,741,"R",0,0,1,0,20
"1037","Marilyn's Man",2004,92,7.6,24,"PG",0,0,0,0,0.825
"1038","Mars Attacks!",1996,106,6.1,27363,"PG-13",1,0,1,0,70
"1039","Martin Lawrence Live: Runteldat",2002,113,4.6,504,"R",0,0,1,0,3
"1040","Marvin's Room",1996,98,6.5,4005,"PG-13",0,0,1,1,23
"1041","Mary Reilly",1996,108,5.5,2806,"R",0,0,0,1,47
"1042","Mask of Zorro, The",1998,136,6.8,18220,"PG-13",1,0,1,0,65
"1043","Master and Commander: The Far Side of the World",2003,138,7.5,21328,"PG-13",1,0,0,1,150
"1044","Master of Disguise, The",2002,80,2.9,3903,"PG",0,0,1,0,16
"1045","Matilda",1996,102,6.5,4351,"PG",0,0,1,1,36
"1046","Matrix Reloaded, The",2003,138,7.1,57225,"R",1,0,0,0,127
"1047","Matrix Revolutions, The",2003,125,6.3,40058,"R",1,0,0,0,110
"1048","Matrix, The",1999,136,8.5,143853,"R",1,0,0,0,63
"1049","Max Keeble's Big Move",2001,86,5.3,587,"PG",0,0,1,0,12
"1050","May",2002,93,6.8,3324,"R",0,0,0,1,1.7
"1051","Mayerling",1968,140,5.6,154,"PG-13",0,0,0,1,5
"1052","McHale's Navy",1997,108,3.7,1758,"PG",0,0,1,0,42
"1053","Me, Myself & Irene",2000,116,6,21305,"R",0,0,1,0,51
"1054","Mean Creek",2004,89,7.3,2094,"R",0,0,0,1,0.5
"1055","Mean Girls",2004,97,7,11591,"PG-13",0,0,1,1,17
"1056","Medallion, The",2003,88,4.5,2765,"PG-13",1,0,1,0,41
"1057","Meet Joe Black",1998,178,6.6,16796,"PG-13",0,0,0,1,90
"1058","Meet the Deedles",1998,93,3.4,443,"PG",0,0,1,0,24
"1059","Meet the Fockers",2004,115,6.5,11950,"PG-13",0,0,1,0,80
"1060","Meet the Parents",2000,108,7,30804,"PG-13",0,0,1,0,55
"1061","Megiddo: The Omega Code 2",2001,104,3.8,729,"PG-13",0,0,0,0,22
"1062","Memento",2000,113,8.7,90317,"R",0,0,0,1,5
"1063","Men in Black",1997,98,6.8,53231,"PG-13",1,0,1,0,90
"1064","Men in Black II",2002,88,5.6,21580,"PG-13",1,0,1,0,140
"1065","Men of Honor",2000,129,6.6,9684,"R",0,0,0,1,32
"1066","Men of War",1994,99,4.6,397,"R",1,0,0,1,12
"1067","Men with Brooms",2002,102,5.9,1096,"R",0,0,1,1,7.5
"1068","Menace II Society",1993,97,7.3,4704,"R",1,0,0,1,3.5
"1069","Merchant of Venice, The",2004,138,7.3,1400,"R",0,0,1,1,30
"1070","Mercury Rising",1998,108,5.6,8202,"R",1,0,0,1,60
"1071","Mercy Streets",2000,106,4.6,149,"PG-13",1,0,0,1,0.6
"1072","Message in a Bottle",1999,126,5.4,5582,"PG-13",0,0,0,1,30
"1073","Metoroporisu",2001,107,7.3,3380,"PG-13",1,1,0,1,14.5
"1074","Metro",1997,117,5.2,3560,"R",1,0,1,1,55
"1075","Mexican, The",2001,123,6,13935,"R",0,0,1,0,38
"1076","Michael Moore Hates America",2004,125,4.2,629,"R",0,0,0,0,0.2
"1077","Mickey",2004,90,5.4,52,"PG",0,0,0,1,6
"1078","Mickey Blue Eyes",1999,102,5.8,7247,"PG-13",0,0,1,0,40
"1079","Midnight in the Garden of Good and Evil",1997,155,6.4,8517,"R",0,0,0,1,30
"1080","Mighty Aphrodite",1995,95,7,7083,"R",0,0,1,0,15
"1081","Mighty Joe Young",1998,114,5.6,2873,"PG",0,0,0,0,49
"1082","Million Dollar Baby",2004,132,8.3,20195,"PG-13",0,0,0,1,30
"1083","Million Dollar Hotel, The",2000,122,5.5,4746,"R",0,0,0,1,8
"1084","Mimic",1997,105,5.6,6052,"R",0,0,0,0,25
"1085","Mindhunters",2004,102,6.3,3925,"R",1,0,0,0,27
"1086","Minion, The",1998,95,3.2,338,"R",1,0,0,0,12
"1087","Minority Report",2002,145,7.8,51199,"PG-13",1,0,0,1,102
"1088","Mirror Has Two Faces, The",1996,122,5.7,2775,"PG-13",0,0,1,1,42
"1089","Miss Congeniality",2000,109,6.2,16235,"PG-13",0,0,1,0,45
"1090","Mission: Impossible",1996,110,6.6,33496,"PG-13",1,0,0,0,75
"1091","Mission: Impossible II",2000,123,5.7,35958,"PG-13",1,0,0,0,125
"1092","Modern Vampires",1998,91,4.1,700,"R",0,0,0,0,2
"1093","Modigliani",2004,128,7,155,"R",0,0,0,1,12
"1094","Molly",1999,102,5.5,610,"PG-13",0,0,1,1,21
"1095","Molly Maguires, The",1970,124,6.6,455,"PG",0,0,0,1,11
"1096","Mona Lisa Smile",2003,117,6.1,6838,"PG-13",0,0,1,1,65
"1097","Money Talks",1997,97,5.5,2720,"R",1,0,1,0,25
"1098","Money Train",1995,103,5.1,5081,"R",1,0,1,1,68
"1099","Monkeybone",2001,92,4.7,3112,"PG-13",0,1,1,0,75
"1100","Monsoon Wife",2004,92,4.7,15,"R",0,0,0,1,1
"1101","Monster",2003,109,7.4,12306,"R",0,0,0,1,8
"1102","Monster's Ball",2001,112,7.3,15037,"R",0,0,0,1,4
"1103","Monster-in-Law",2005,102,5.6,147,"PG-13",0,0,1,0,60
"1104","Montana",1998,92,6.1,417,"R",1,0,0,1,4
"1105","Moonlight Mile",2002,117,6.9,3479,"PG-13",0,0,0,1,20
"1106","Mortal Kombat",1995,101,5,8779,"PG-13",1,0,0,0,20
"1107","Mortal Kombat: Annihilation",1997,91,3,5799,"PG-13",1,0,0,0,30
"1108","Mosquito",1995,92,3.3,312,"R",0,0,0,0,0.2
"1109","Mother Night",1996,114,7.1,1232,"R",0,0,0,1,5.5
"1110","Mothman Prophecies, The",2002,119,6.5,11073,"PG-13",0,0,0,0,42
"1111","Moulin Rouge!",2001,127,7.7,47689,"PG-13",0,0,0,1,52.5
