"","rspdnum","Sample","version_weather_v1","version_CDR","demog_age_year","AgeRecode","demog_state","Region","weather_pastsummer_v1","gw_belief","believer_confidence","believer_cause","believer_cause_followup","believer_problem","believer_immediacy","believer_factor_open","believer_factor_open_coded","believer_factor_glaciers","believer_factor_warmer","believer_factor_hurricane","believer_factor_mildwint","believer_factor_droughts","nonbeliever_confidence","nonbeliever_factor_open","nonbeliever_factor_open_coded","govt_fed","govt_state","govt_local","state_cleancoal","state_vehicles_v1","state_fftax","state_nuclear","state_captrade","state_rps_v2","natgas_mystate","govt_nofedaction","state_impactsfelt","state_rps_neighbr","cdr_knowledge_info","cdr_knowledge","cdr_support","gw_threat","coalfpp_support_phaseout_v2","subsidy_support","carbontax_support_v3","state_gastax_v2","state_ee_v2","gw_geoengr","gw_adapt","fed_moralobligation","intl_economicimpact","worldviews_freetrade","worldviews_immigration","willing2pay_list","demog_race","demog_relig","demog_relig_evang","demog_edu","demog_polparty","demog_polviews","worldviews_trump","demog_income","demog_gender","Date","Weight"
"463",463,"C","B","C",9999,3,"CA",4,5,98,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,1,1,2,2,2,4,2,2,2,2,3,3,999,999,999,4,2,2,4,98,3,2,3,2,98,2,3,3,1,98,NA,3,3,98,4,2,2,"10/30/2017 8:21:12",1.065
"464",464,"C","A","C",9999,4,"IN",3,5,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,2,3,3,3,2,4,2,98,3,1,2,2,3,2,999,999,999,2,2,1,5,5,1,3,4,4,4,1,4,1,1,2,NA,3,4,3,4,1,1,"10/30/2017 8:21:54",0.73
"465",465,"C","B","C",9999,4,"TX",2,5,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3,NA,1,3,3,3,2,3,4,4,4,4,3,1,2,4,999,999,999,1,5,5,4,5,5,4,3,4,2,2,1,3,1,1,2,2,1,3,3,6,2,"10/30/2017 8:33:11",1.13
"466",466,"C","A","C",9999,1,"CA",4,5,1,1,3,1,1,1,"SCIENTIFIC EVIDENCE",4,2,4,4,4,2,NA,NA,NA,1,2,3,1,2,2,1,4,1,98,2,2,2,999,999,999,5,1,1,1,4,2,2,4,1,2,1,2,4,9,7,NA,3,4,3,2,2,1,"10/30/2017 8:37:02",2.83
"467",467,"C","B","C",9999,1,"VA",2,2,1,1,3,1,1,1,NA,8,1,2,1,2,1,NA,NA,NA,1,2,98,98,1,1,98,1,1,1,1,4,4,999,999,999,4,1,1,1,98,1,1,4,1,4,1,4,2,2,1,2,3,4,4,4,2,1,"10/30/2017 8:39:14",1.45
"468",468,"C","A","C",9999,1,"CA",4,1,1,2,1,NA,2,1,NA,3,1,2,1,4,1,NA,NA,NA,1,2,2,2,2,3,3,98,1,1,2,2,98,999,999,999,3,4,1,2,2,98,2,3,1,98,2,2,1,9,2,NA,2,1,3,4,NA,2,"10/30/2017 8:39:29",3.42
"469",469,"C","B","C",9999,2,"CA",4,2,1,1,1,NA,1,1,NA,10,1,2,1,2,1,NA,NA,NA,1,1,1,2,2,2,2,2,2,2,2,2,3,999,999,999,5,2,2,2,2,2,2,2,2,4,2,3,5,1,2,NA,5,1,4,4,6,1,"10/30/2017 8:41:49",0.7
"470",470,"C","A","C",9999,4,"NC",2,5,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,2,2,2,2,4,4,4,4,2,4,1,4,4,2,999,999,999,3,5,5,5,5,5,1,1,2,1,98,1,3,1,1,1,3,2,1,1,4,1,"10/30/2017 8:47:31",0.51
"471",471,"C","B","C",9999,1,"MN",3,2,1,2,3,1,1,1,NA,2,1,1,98,1,1,NA,NA,NA,1,1,1,1,1,1,2,2,1,1,1,1,4,999,999,999,4,2,1,1,5,1,98,4,1,4,1,4,2,1,1,1,3,1,3,4,3,1,"10/30/2017 8:50:59",1.22
"472",472,"C","A","C",9999,3,"FL",2,2,1,1,1,NA,1,1,NA,4,1,2,98,3,1,NA,NA,NA,1,1,1,4,1,1,4,2,1,2,1,1,1,999,999,999,5,1,1,1,1,1,1,4,2,4,1,4,5,5,6,NA,5,98,98,98,98,1,"10/30/2017 8:56:24",0.915
"473",473,"C","B","D",9999,1,"GA",2,2,1,1,1,NA,1,2,NA,8,2,1,4,2,2,NA,NA,NA,1,1,1,1,4,3,2,2,1,4,2,2,2,999,999,999,4,2,1,3,4,1,2,4,2,4,4,4,2,1,6,NA,3,4,4,3,NA,2,"11/1/2017 4:08:29",1.43
"474",474,"C","A","D",9999,2,"NY",1,3,1,2,2,NA,2,2,NA,9,98,98,2,2,2,NA,NA,NA,1,2,2,2,1,2,4,98,1,2,2,2,98,999,999,999,3,4,2,2,4,1,98,3,2,3,2,4,2,2,4,NA,5,1,4,4,4,2,"11/1/2017 4:25:18",1.36
"475",475,"C","B","D",9999,1,"FL",2,5,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,9,2,3,3,2,4,4,1,4,3,2,4,4,4,999,999,999,1,5,1,5,5,4,4,1,4,1,1,2,1,1,2,NA,4,2,1,1,6,1,"11/1/2017 4:30:08",0.69
"476",476,"C","A","D",9999,1,"TX",2,2,1,1,3,1,2,1,NA,10,1,2,1,4,2,NA,NA,NA,1,1,1,1,2,3,1,2,1,1,1,98,4,999,999,999,4,1,1,2,5,1,98,1,2,3,1,4,2,10,6,NA,2,2,2,4,4,1,"11/1/2017 4:30:12",1.32
"477",477,"C","B","D",9999,1,"PA",1,98,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,5,3,3,3,98,3,3,1,2,3,98,4,4,1,999,999,999,1,2,4,4,4,2,2,3,4,98,1,3,1,1,2,NA,4,2,1,3,4,1,"11/1/2017 4:31:47",0.79
"478",478,"C","A","D",9999,3,"MA",1,2,1,1,1,NA,2,1,"HOTTER",2,1,1,1,2,1,NA,NA,NA,1,2,2,4,2,4,1,4,1,3,2,1,3,999,999,999,4,1,1,5,5,1,1,4,1,1,2,4,6,1,7,NA,4,3,4,4,98,2,"11/1/2017 4:37:44",0.695
"479",479,"C","A","D",9999,2,"MD",2,1,1,1,1,NA,1,1,NA,11,1,1,1,1,1,NA,NA,NA,1,1,1,1,1,98,4,1,1,1,1,1,1,999,999,999,5,1,1,2,5,1,2,1,1,4,4,1,3,1,6,NA,3,1,4,4,1,2,"11/1/2017 4:40:15",1.59
"480",480,"C","B","D",9999,NA,"PA",1,2,1,1,1,NA,1,1,NA,1,1,2,1,1,1,NA,NA,NA,1,1,2,1,1,1,2,1,1,1,1,1,4,999,999,999,4,1,1,1,1,1,1,4,1,4,1,4,3,1,1,2,4,4,4,4,NA,2,"11/1/2017 4:48:24",0.89
"481",481,"C","A","D",9999,1,"NY",1,5,1,1,1,NA,1,1,NA,4,1,1,1,1,1,NA,NA,NA,1,1,1,4,1,2,4,1,1,1,1,2,4,999,999,999,5,1,1,2,1,1,98,4,1,4,1,4,6,1,3,NA,4,1,5,4,6,2,"11/1/2017 4:48:37",1.03
"482",482,"C","B","D",9999,1,"NJ",1,2,1,1,1,NA,1,1,"SCIENTIFIC EVIDENCE",4,1,3,2,2,2,NA,NA,NA,1,1,2,2,1,3,1,1,2,1,1,2,3,999,999,999,4,1,1,2,2,2,2,4,1,4,2,4,6,5,5,NA,4,1,4,4,5,1,"11/1/2017 4:59:31",1.42
"483",483,"C","A","D",9999,4,"NY",1,3,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3,NA,9,1,1,1,98,3,98,2,2,1,98,1,3,4,999,999,999,4,98,98,2,2,2,98,98,2,2,2,98,2,1,3,NA,4,1,4,NA,NA,1,"11/1/2017 5:03:16",0.35
"484",484,"C","B","D",9999,2,"MA",1,5,98,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,2,3,2,1,4,4,4,1,3,1,98,98,999,999,999,98,1,4,4,5,5,1,2,1,3,3,98,1,1,2,NA,4,2,4,3,NA,1,"11/1/2017 5:05:44",0.87
"485",485,"C","A","D",9999,4,"VA",2,5,98,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,98,98,98,98,3,98,98,98,2,98,98,98,98,999,999,999,98,98,2,4,4,2,3,98,98,98,2,3,1,1,6,NA,2,3,2,4,NA,1,"11/1/2017 5:17:21",0.96
"486",486,"C","B","D",9999,3,"CA",4,1,1,2,2,NA,3,2,NA,2,98,1,1,2,2,NA,NA,NA,2,2,2,3,2,98,4,2,1,2,4,1,2,999,999,999,2,1,1,5,5,1,1,1,3,4,4,4,1,9,1,2,3,2,2,3,3,2,"11/1/2017 5:18:24",2.655
"487",487,"C","A","D",9999,2,"NC",2,2,1,1,1,NA,1,1,NA,4,1,1,1,1,1,NA,NA,NA,1,2,2,98,98,98,4,2,1,3,2,2,2,999,999,999,5,1,1,2,4,1,2,4,1,1,2,4,3,1,NA,NA,5,4,3,4,4,2,"11/1/2017 5:24:37",1.14
"488",488,"C","B","D",9999,3,"CA",4,2,1,1,1,NA,2,98,NA,1,1,3,2,2,2,NA,NA,NA,1,1,1,1,4,4,1,2,1,2,2,1,1,999,999,999,3,3,1,5,5,1,2,98,4,1,1,1,2,10,1,2,4,2,3,2,4,2,"11/1/2017 5:24:42",0.545
"489",489,"C","A","D",9999,2,"TX",2,2,1,2,1,NA,2,1,NA,1,1,2,2,2,2,NA,NA,NA,1,1,3,4,2,2,3,4,2,4,1,1,2,999,999,999,4,1,1,5,5,2,1,3,1,1,2,4,5,1,3,NA,4,NA,NA,1,NA,2,"11/1/2017 5:30:18",1.21
"490",490,"C","B","D",9999,4,"IN",3,2,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,NA,3,2,2,2,2,2,3,3,2,1,3,3,4,4,999,999,999,2,5,5,5,5,2,4,4,4,1,2,2,1,1,1,2,2,2,1,2,NA,1,"11/1/2017 5:36:05",0.96
"491",491,"C","A","D",9999,NA,"CA",4,1,1,1,98,NA,1,1,NA,10,1,1,1,4,2,NA,NA,NA,1,2,2,1,98,98,4,98,1,98,2,98,2,999,999,999,4,2,1,2,2,2,98,3,2,1,4,4,1,10,2,NA,2,1,2,3,2,2,"11/1/2017 5:42:59",1.56
"492",492,"C","B","D",9999,1,"CO",4,5,1,2,1,NA,2,1,"OUR FACTORIES",8,1,1,4,1,3,NA,NA,NA,1,1,1,4,4,4,4,98,1,4,4,1,2,999,999,999,3,98,1,1,5,5,2,4,4,1,3,4,1,5,2,NA,3,2,3,4,2,1,"11/1/2017 5:43:21",1.79
"493",493,"C","A","D",9999,3,"AZ",4,1,1,1,1,NA,1,1,"ITS GETTING WARMER EVERY YEAR",2,1,1,1,1,1,NA,NA,NA,1,1,1,3,2,2,98,2,2,2,2,2,3,999,999,999,5,2,2,2,4,2,2,3,2,3,2,98,98,1,98,NA,4,4,5,4,6,2,"11/1/2017 5:44:07",0.525
"494",494,"C","B","D",9999,1,"WA",4,1,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,1,3,3,3,2,4,4,98,98,1,4,98,98,4,999,999,999,1,5,1,5,5,2,4,4,98,98,4,4,1,1,6,NA,3,3,2,3,1,2,"11/1/2017 5:46:45",1.58
"495",495,"C","A","D",9999,2,"NV",4,5,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,1,3,3,3,2,2,4,2,4,1,4,NA,4,2,999,999,999,1,2,2,5,5,2,1,1,2,1,1,2,1,1,1,1,2,2,1,1,NA,1,"11/1/2017 5:56:02",1.48
"496",496,"C","B","D",9999,4,"CA",4,1,1,1,3,1,1,1,NA,2,1,1,4,1,1,NA,NA,NA,2,2,2,1,1,4,4,1,1,4,2,1,3,999,999,999,5,5,1,2,5,1,1,2,1,4,1,1,3,2,6,NA,5,2,1,2,4,1,"11/1/2017 5:56:16",0.5
"497",497,"C","A","D",9999,2,"ME",1,2,1,1,1,NA,1,1,NA,4,1,3,1,3,1,NA,NA,NA,1,1,1,3,2,2,3,2,1,3,1,1,4,999,999,999,5,1,1,2,2,2,4,4,1,4,1,4,6,1,1,2,5,1,5,4,6,2,"11/1/2017 5:59:01",1.04
"498",498,"C","B","D",9999,3,"MN",3,3,1,1,3,1,1,1,"SCIENTIFIC RESEARCH",4,1,1,2,1,1,NA,NA,NA,1,1,1,4,1,1,2,2,1,1,2,1,4,999,999,999,5,1,1,1,1,1,1,4,1,4,1,4,6,1,2,NA,3,1,4,4,6,2,"11/1/2017 6:07:13",0.755
"499",499,"C","A","D",9999,2,"GA",2,5,1,1,1,NA,1,1,NA,3,1,1,1,1,1,NA,NA,NA,1,1,2,1,1,1,4,98,1,98,2,1,4,999,999,999,5,1,1,1,2,1,1,4,1,4,1,4,6,1,6,NA,4,1,3,4,6,2,"11/1/2017 6:12:17",1.04
"500",500,"C","B","D",9999,3,"NV",4,5,1,3,1,NA,3,2,NA,1,2,3,3,3,2,NA,NA,NA,3,3,3,2,3,3,2,1,1,2,4,2,3,999,999,999,2,5,1,5,5,5,4,3,2,2,1,3,1,1,NA,NA,4,2,2,3,6,1,"11/1/2017 6:13:21",0.185
"501",501,"C","A","D",9999,1,"WA",4,5,1,1,2,NA,1,1,"TEMPS ARE WARMER",2,1,1,1,4,1,NA,NA,NA,1,2,2,3,1,2,4,98,1,2,1,1,4,999,999,999,4,5,1,5,5,1,98,4,1,3,1,98,98,1,6,NA,2,4,4,4,1,2,"11/1/2017 6:17:35",1.96
"502",502,"C","B","D",9999,4,"LA",2,5,1,3,98,NA,3,2,"NOT SURE",10,2,3,2,3,3,NA,NA,NA,2,2,2,2,3,3,98,98,4,2,98,3,3,999,999,999,3,4,4,4,4,4,2,3,3,3,3,98,1,1,2,NA,4,2,3,2,4,2,"11/1/2017 6:22:29",0.62
"503",503,"C","A","D",9999,2,"HI",4,1,1,2,1,NA,1,1,"PEOPLE",8,1,1,3,4,1,NA,NA,NA,2,2,2,1,1,2,1,1,1,1,1,1,98,999,999,999,5,2,2,2,2,2,1,1,1,98,1,4,2,1,3,NA,3,4,5,3,NA,1,"11/1/2017 6:32:34",1.1
"504",504,"C","B","D",9999,4,"HI",4,2,98,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,1,1,4,1,2,4,2,1,2,1,1,4,999,999,999,98,1,1,98,1,1,2,4,1,3,2,3,2,5,6,NA,4,4,4,3,NA,1,"11/1/2017 6:33:21",0.91
"505",505,"C","A","C",9999,2,"UT",4,5,1,1,1,NA,2,1,NA,2,1,3,1,2,3,NA,NA,NA,1,1,1,2,1,98,4,4,98,98,1,1,98,999,999,999,98,1,1,2,98,1,1,4,1,98,98,4,4,1,6,NA,5,2,3,3,5,2,"11/1/2017 7:01:15",1.21
"506",506,"C","A","C",9999,3,"AL",2,5,1,1,2,NA,2,2,"SCIENTIFIC DATA",4,2,3,3,3,3,NA,NA,NA,2,2,2,1,1,2,1,2,1,2,3,4,1,999,999,999,3,5,1,5,1,1,1,3,2,4,4,1,5,1,1,1,3,2,1,2,6,1,"11/1/2017 7:16:54",0.415
"507",507,"C","B","C",9999,3,"IL",3,2,1,1,2,NA,1,1,"TREE LEAVES ARE FALLING LATER",3,2,2,1,3,2,NA,NA,NA,1,1,1,4,1,3,2,4,1,2,1,1,3,999,999,999,5,1,2,1,3,2,1,3,1,4,2,4,3,2,4,NA,5,3,NA,4,NA,1,"11/1/2017 7:18:57",0.575
"508",508,"C","A","C",9999,4,"AR",2,5,98,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,2,2,2,2,2,2,98,2,98,2,2,98,999,999,999,3,3,98,2,3,3,98,2,2,98,98,98,98,1,1,2,3,2,98,2,1,2,"11/1/2017 7:20:59",1.07
"509",509,"C","B","C",9999,3,"MO",3,5,1,1,1,NA,1,1,"ICE CAPS ARE CURRENTLY SHRINKING",1,1,2,1,2,1,NA,NA,NA,1,1,1,1,1,2,2,1,1,98,1,1,98,999,999,999,4,98,1,2,2,2,1,4,1,98,2,3,2,2,1,1,5,1,2,4,2,2,"11/1/2017 7:24:14",1.055
"510",510,"C","A","C",9999,2,"CA",4,1,1,2,2,NA,4,2,"GLACIER MELTINGS",1,3,3,2,4,1,NA,NA,NA,1,2,3,2,3,4,4,4,1,98,2,2,2,999,999,999,3,98,1,2,2,4,2,4,2,4,1,4,1,9,2,NA,2,4,3,3,4,1,"11/1/2017 7:28:45",3.01
"511",511,"C","A","C",9999,1,"WA",4,2,1,2,2,NA,1,1,"CHANGES IN THE WEATHER",3,1,1,1,3,1,NA,NA,NA,1,1,1,1,2,2,2,1,1,1,1,1,98,999,999,999,4,3,1,2,4,1,98,4,1,98,2,4,5,9,6,NA,2,4,2,3,6,1,"11/1/2017 7:33:32",2.9
"512",512,"C","B","C",9999,4,"SD",3,3,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,2,1,2,2,3,4,4,1,1,1,1,2,4,1,999,999,999,2,5,5,5,5,2,1,4,4,3,1,1,3,1,1,1,2,2,2,2,5,1,"11/1/2017 7:34:51",0.96
"513",513,"C","A","C",9999,2,"CO",4,4,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,5,2,2,3,3,4,4,4,98,4,4,4,98,98,999,999,999,1,4,5,5,5,5,4,3,4,98,1,4,1,1,2,NA,4,2,2,2,6,2,"11/1/2017 7:45:29",1.04
"514",514,"C","B","C",9999,1,"NY",1,4,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,"NOT SURE",9,2,2,3,1,2,4,2,2,2,98,4,2,2,999,999,999,4,1,1,2,2,1,2,4,1,4,1,4,2,1,1,2,3,1,4,4,NA,1,"11/1/2017 7:51:22",1.09
"515",515,"C","A","C",9999,3,"WI",3,3,1,2,1,NA,2,1,"SCIENTIFIC DATA",4,2,1,2,2,2,NA,NA,NA,1,2,2,1,2,4,1,1,1,2,4,2,3,999,999,999,3,5,1,5,5,1,1,4,2,4,4,4,5,1,6,NA,5,4,3,3,6,1,"11/1/2017 7:55:40",0.185
"516",516,"C","B","C",9999,3,"OR",4,5,1,1,3,98,1,2,NA,2,1,3,4,4,1,NA,NA,NA,1,1,1,1,2,1,1,2,1,4,1,1,4,999,999,999,4,2,2,1,1,1,4,4,1,4,1,4,4,10,6,NA,5,4,3,3,2,1,"11/1/2017 7:56:21",0.415
"517",517,"C","A","C",9999,3,"CA",4,5,1,1,2,NA,4,2,"ICE AGES",1,1,4,98,4,1,NA,NA,NA,3,3,3,1,1,1,98,1,1,98,98,98,98,999,999,999,3,1,1,1,5,1,2,1,1,98,1,1,2,9,7,NA,3,4,98,98,4,1,"11/1/2017 7:57:34",2.115
"518",518,"C","B","C",9999,3,"UT",4,2,1,2,1,NA,1,1,"GREEN HOUSE GASES",10,1,2,2,2,2,NA,NA,NA,1,1,1,98,1,98,2,1,1,1,1,1,4,999,999,999,5,1,1,1,1,1,2,4,1,4,1,4,6,1,6,NA,5,4,3,4,4,1,"11/1/2017 8:04:08",0.285
"519",519,"C","A","C",9999,2,"CA",4,5,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,NA,1,3,3,3,4,2,4,3,2,2,2,4,4,3,999,999,999,1,3,1,3,5,2,2,4,2,1,2,1,1,1,1,1,3,2,1,1,NA,1,"11/1/2017 8:05:59",1.1
"520",520,"C","B","C",9999,2,"TN",2,5,1,3,2,NA,1,2,"MORE RAIN",3,2,2,98,3,1,NA,NA,NA,1,1,1,1,1,4,98,98,3,1,1,3,4,999,999,999,4,5,3,3,5,5,4,4,4,4,4,1,2,10,6,NA,4,3,3,4,2,2,"11/1/2017 8:08:16",1.27
"521",521,"C","A","C",9999,3,"PA",1,5,1,1,3,3,2,98,"WATER IS GOING UP",11,2,2,2,2,2,NA,NA,NA,2,2,2,98,2,3,2,98,2,1,2,2,2,999,999,999,3,4,2,5,5,2,98,3,1,1,2,3,1,1,NA,NA,4,4,NA,4,NA,1,"11/1/2017 8:17:17",0.355
"522",522,"C","B","C",9999,3,"OR",4,5,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,5,3,3,3,98,3,4,98,3,3,98,98,98,2,999,999,999,1,4,1,5,5,4,1,98,4,1,1,NA,NA,NA,NA,NA,3,4,4,1,NA,1,"11/1/2017 8:17:44",0.685
"523",523,"C","A","C",9999,1,"AL",2,1,1,1,1,NA,1,1,"HOTTER THAN USUAL",2,1,1,1,2,1,NA,NA,NA,1,2,2,2,1,1,4,1,1,1,2,1,98,999,999,999,4,1,1,1,1,1,2,4,1,1,2,4,4,10,6,NA,3,1,4,4,6,2,"11/1/2017 8:23:03",1.18
"524",524,"C","B","C",9999,3,"OR",4,98,1,2,3,1,2,2,NA,2,2,98,4,98,1,NA,NA,NA,2,2,3,2,1,4,4,3,1,1,3,2,3,999,999,999,3,1,4,2,2,1,1,4,2,1,1,1,1,1,2,NA,5,2,2,98,6,2,"11/1/2017 8:27:11",0.525
"525",525,"C","A","C",9999,3,"CA",4,5,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,NA,2,3,2,2,4,4,4,4,4,4,2,4,4,4,999,999,999,1,98,5,5,5,5,98,98,98,1,2,1,1,1,1,1,3,3,1,2,6,1,"11/1/2017 8:28:54",0.415
"526",526,"C","B","C",9999,2,"KY",2,5,98,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3,3,3,2,3,4,2,2,3,98,3,3,2,999,999,999,2,4,3,5,5,4,2,2,3,2,2,3,1,1,2,NA,4,2,1,2,4,1,"11/1/2017 8:30:01",0.8
"527",527,"C","A","C",9999,3,"CA",4,2,1,1,3,1,1,1,NA,10,1,1,98,1,1,NA,NA,NA,1,1,1,1,1,4,4,1,1,98,98,1,1,999,999,999,5,98,1,1,5,1,1,4,1,4,98,4,5,1,1,98,3,1,3,4,4,2,"11/1/2017 8:30:46",0.855
"528",528,"C","B","C",9999,1,"AZ",4,2,1,2,1,NA,1,1,NA,4,1,1,2,2,2,NA,NA,NA,2,1,2,4,1,1,2,1,1,4,1,2,4,999,999,999,4,1,1,1,1,1,4,2,1,4,1,4,5,1,1,2,5,4,3,4,4,1,"11/1/2017 8:37:04",0.79
"529",529,"C","A","C",9999,2,"IA",3,1,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,1,98,98,98,3,3,3,3,3,3,3,2,2,2,999,999,999,3,4,4,4,4,4,3,3,3,3,3,3,1,1,2,NA,3,2,3,2,2,1,"11/1/2017 8:41:37",1.24
"530",530,"C","B","C",9999,2,"UT",4,5,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,NA,2,3,3,3,98,4,4,2,1,4,98,4,3,2,999,999,999,1,5,5,5,5,2,4,4,4,2,4,4,1,1,1,2,3,4,4,4,4,1,"11/1/2017 8:46:19",1.03
"531",531,"C","A","C",9999,2,"CT",1,4,1,1,2,NA,1,1,NA,2,1,2,1,3,2,NA,NA,NA,1,2,3,2,2,3,1,98,1,2,2,98,3,999,999,999,2,2,1,2,5,4,3,2,3,2,1,4,1,1,98,NA,3,4,3,3,3,1,"11/1/2017 8:48:26",1.23
"532",532,"C","B","C",9999,NA,"OH",3,3,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,NA,1,3,3,3,98,1,3,4,1,2,1,4,4,1,999,999,999,1,4,1,5,5,4,98,4,1,98,1,3,6,1,1,1,4,2,1,2,4,2,"11/1/2017 8:58:54",0.82
"533",533,"C","A","C",9999,3,"MN",3,5,98,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,2,3,3,2,3,98,3,3,2,3,98,2,999,999,999,2,4,4,4,4,2,3,3,3,2,2,98,3,1,2,NA,4,4,3,2,6,1,"11/2/2017 4:16:15",0.185
"534",534,"C","B","C",9999,4,"IN",3,5,98,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,2,2,2,1,2,2,2,1,98,2,98,3,999,999,999,3,4,4,2,2,1,98,2,98,98,2,2,2,1,1,2,2,1,4,2,NA,1,"11/2/2017 4:19:35",0.96
"535",535,"C","A","D",9999,NA,"MA",1,2,1,1,1,NA,1,1,NA,1,1,2,1,1,1,NA,NA,NA,1,1,1,2,1,1,3,2,1,4,1,1,3,999,999,999,5,2,2,2,2,1,2,4,1,2,1,4,2,NA,7,NA,NA,NA,NA,4,NA,1,"11/2/2017 4:21:27",0.81
"536",536,"C","B","D",9999,2,"OH",3,5,1,1,1,NA,1,1,NA,2,1,1,1,1,1,NA,NA,NA,2,1,3,4,1,2,1,3,1,2,1,1,98,999,999,999,5,1,1,2,4,1,3,4,1,4,3,4,5,1,1,1,3,4,5,4,3,1,"11/2/2017 5:10:14",1.23
"537",537,"L","B","C",9999,3,"WI",3,3,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,NA,8,3,2,2,4,4,4,4,4,4,3,3,4,3,999,999,999,2,4,5,5,5,4,4,3,4,1,2,3,1,1,6,NA,4,2,2,3,5,1,"11/2/2017 5:13:42",0.355
"538",538,"L","B","C",9999,4,"PA",1,3,1,2,1,NA,1,1,NA,3,1,2,1,3,1,NA,NA,NA,1,2,3,2,2,98,2,2,2,2,2,2,2,999,999,999,5,2,2,2,3,2,2,2,2,98,2,2,1,1,98,NA,2,NA,98,4,2,2,"11/2/2017 5:21:53",1.44
"539",539,"L","A","C",9999,4,"PA",1,1,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4,NA,2,3,3,3,4,1,3,4,1,98,2,1,98,1,999,999,999,1,5,1,5,5,5,4,4,98,4,4,4,1,1,1,2,2,2,1,2,3,2,"11/2/2017 5:36:35",1.43
"540",540,"L","B","C",9999,4,"OH",3,2,1,1,1,NA,2,2,"NOT SURE",10,4,3,1,1,1,NA,NA,NA,3,3,3,4,4,4,4,4,4,1,4,3,4,999,999,999,2,5,5,5,5,5,4,98,98,4,1,1,1,1,1,1,2,2,3,2,1,2,"11/2/2017 5:37:37",1.45
"541",541,"L","A","C",9999,4,"NC",2,2,98,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,1,2,1,98,4,4,4,3,98,1,98,2,999,999,999,2,1,2,5,5,2,4,98,4,2,3,1,1,1,6,NA,2,2,1,1,2,2,"11/2/2017 5:58:21",1.44
"542",542,"L","B","C",9999,NA,"FL",2,2,1,1,2,NA,2,1,NA,1,2,2,1,2,1,NA,NA,NA,3,1,1,2,2,2,2,4,1,2,1,2,2,999,999,999,3,4,1,5,3,1,2,3,1,1,3,4,3,1,1,1,2,4,2,2,2,2,"11/2/2017 6:01:14",1.64
"543",543,"L","A","C",9999,4,"SC",2,5,1,1,1,NA,1,1,NA,11,1,1,2,2,2,NA,NA,NA,1,1,1,1,2,2,1,1,1,1,1,4,98,999,999,999,4,5,1,2,2,4,4,2,3,98,2,1,3,2,2,NA,2,1,3,3,1,1,"11/2/2017 6:03:46",1.33
"544",544,"L","B","C",9999,3,"KY",2,5,1,2,2,NA,98,2,NA,4,2,3,3,3,2,NA,NA,NA,3,3,3,2,1,4,2,2,1,2,4,2,2,999,999,999,3,5,1,5,5,3,3,4,1,4,1,4,1,1,1,2,5,1,3,4,4,2,"11/2/2017 6:19:19",0.625
